sku,ourName,ourSlug,currentlyHasRealImage,matchedName,confidence,numbersMatch,imageUrl,approved
PMS-C002,Cepodem 200,cepodem-200-pms-c002,false,AC-4 F 200 mg,0.2,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/8c8b14a6f9554ad28567c36c3794792a.avif,
PMS-C003,Concor Cor 2.5,concor-cor-2-5-pms-c003,false,Azomax 2.5,0.4,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-C004,Concor AM 5,concor-am-5-pms-c004,false,Allegra-5Ml,0.25,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-C005,Concor AM 2.5,concor-am-2-5-pms-c005,false,Azomax 2.5,0.4,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-C006,Contramol DT,contramol-dt-pms-c006,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C007,Calpol 500,calpol-500-pms-c007,false,Azithral 500Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-C008,Clopitab 75,clopitab-75-pms-c008,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C009,Coversyl AM 5,coversyl-am-5-pms-c009,false,Allegra-5Ml,0.25,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-C010,Cilaheart 20,cilaheart-20-pms-c010,false,Atorfit CV Gold 20,0.2,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-33.webp,
PMS-C011,Calcigard 10,calcigard-10-pms-c011,false,Atarax 10,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-19.webp,
PMS-C012,Cyclopam,cyclopam-pms-c012,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C013,Ciplar LA 20,ciplar-la-20-pms-c013,false,Atorfit CV Gold 20,0.167,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-33.webp,
PMS-C014,Ciplar LA 40,ciplar-la-40-pms-c014,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C015,Cetzine 10,cetzine-10-pms-c015,false,Atarax 10,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-19.webp,
PMS-C016,Cardivas 3.125,cardivas-3-125-pms-c016,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C017,Clonafit Beta,clonafit-beta-pms-c017,false,Angicam 5mg Beta,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-21.webp,
PMS-C018,Cardace 2.5,cardace-2-5-pms-c018,false,Azomax 2.5,0.5,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-C019,Caverta 50,caverta-50-pms-c019,false,Aten 50,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/aten50tab_1.jpg,
PMS-C020,Caverta 100,caverta-100-pms-c020,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C021,Ciplox 250,ciplox-250-pms-c021,false,Azithral 250Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-12-1.webp,
PMS-C022,Ciplox 500,ciplox-500-pms-c022,false,Azithral 500Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-C023,Clavam 625,clavam-625-pms-c023,false,Augmentin 625,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-14.webp,
PMS-C024,Calcimax 500,calcimax-500-pms-c024,false,Azithral 500Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-C025,Cefakind 250,cefakind-250-pms-c025,false,Azithral 250Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-12-1.webp,
PMS-C026,Cefakind 500,cefakind-500-pms-c026,false,Azithral 500Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-C027,Cipcal 500 D,cipcal-500-d-pms-c027,false,Azithral 500Mg,0.25,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-C028,Cyclopam Suspension,cyclopam-suspension-pms-c028,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C029,Cremaffin Plus Syrup,cremaffin-plus-syrup-pms-c029,false,Aceclo Plus,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,
PMS-C030,Cypon Syrup,cypon-syrup-pms-c030,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C031,Calcimax D3 Syrup,calcimax-d3-syrup-pms-c031,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C032,Crocin Syrup 125,crocin-syrup-125-pms-c032,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-C033,Crocin Syrup 250,crocin-syrup-250-pms-c033,false,Azithral 250Mg,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-12-1.webp,
PMS-D001,Deriphyllin 150,deriphyllin-150-pms-d001,false,Aciloc RD 150,0.25,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-16.webp,
PMS-D002,Deriphyllin Retard 150,deriphyllin-retard-150-pms-d002,false,Aciloc RD 150,0.2,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-16.webp,
PMS-D003,Dolo 650,dolo-650-pms-d003,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D004,Dynapar 50,dynapar-50-pms-d004,false,Aten 50,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/aten50tab_1.jpg,
PMS-D005,Domstal 10,domstal-10-pms-d005,false,Atarax 10,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-19.webp,
PMS-D006,Dytor Plus 10,dytor-plus-10-pms-d006,false,Aceclo Plus,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,
PMS-D007,Dytor Plus 20,dytor-plus-20-pms-d007,false,Aceclo Plus,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,
PMS-D008,Dytor 5,dytor-5-pms-d008,false,Allegra-5Ml,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-D009,Dulcoflex 5,dulcoflex-5-pms-d009,false,Allegra-5Ml,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-D010,Diclomol,diclomol-pms-d010,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D011,Diclomol SP,diclomol-sp-pms-d011,false,zerodol sp,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/zerodol-sp-tablet-10_zerodol-sp-tablet-10-TM-TACR1-044727_1-1.avif,
PMS-D012,Dilzem 30,dilzem-30-pms-d012,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D013,Drotin-M,drotin-m-pms-d013,false,Glizina &#8211; M,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D014,Deplatt-A 150,deplatt-a-150-pms-d014,false,Aciloc RD 150,0.2,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-16.webp,
PMS-D015,Doxt 100,doxt-100-pms-d015,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D016,Dynaglipt-M,dynaglipt-m-pms-d016,false,Glizina &#8211; M,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D017,Dolonex DT,dolonex-dt-pms-d017,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-D018,Decdan 0.5,decdan-0-5-pms-d018,false,Allegra-5Ml,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-9-1.webp,
PMS-D019,Dolowin Plus,dolowin-plus-pms-d019,false,Aceclo Plus,0.333,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-22.webp,
